#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
bd3 13  - caudal even-skipped bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - cad, channel 2 - eve, channel 3 - bcd>
255 28.94 9.33 10.13 7.40 9.46
256 29.41 67.92 55.60 51.40 103.27
257 29.20 78.49 58.41 60.99 100.40
258 30.01 64.24 54.04 50.92 95.52
259 29.36 23.99 63.10 69.35 88.03
260 29.54 32.17 64.03 65.67 117.25
261 29.66 26.76 61.82 69.52 93.64
262 29.73 47.58 63.42 59.51 115.50
263 29.66 13.10 33.07 26.87 33.59
264 29.68 29.33 70.71 79.40 119.83
265 29.97 42.89 62.30 64.21 110.16
266 29.91 60.20 60.15 57.41 112.31
267 29.63 89.38 12.61 11.17 9.25
268 30.20 71.29 56.85 55.88 101.19
269 29.82 8.23 9.50 7.54 7.18
270 30.22 82.13 47.95 51.91 70.53
271 30.31 37.99 63.03 65.09 107.49
272 30.10 15.10 38.15 36.89 39.27
273 30.19 22.04 56.06 60.27 71.35
274 29.98 77.52 51.52 63.29 92.62
275 30.68 17.74 58.83 64.94 85.39
276 31.47 49.48 61.29 56.36 90.54
277 31.01 53.67 61.42 55.31 95.75
278 31.09 74.35 52.20 57.17 86.17
279 31.07 10.89 21.02 18.17 16.24
280 31.22 34.67 63.17 68.11 102.78
281 30.38 57.01 43.54 28.21 42.87
282 30.63 75.99 55.44 58.38 90.08
283 30.55 89.09 14.04 8.93 10.62
284 31.11 86.40 30.79 30.27 31.10
285 30.94 8.64 13.15 8.01 7.85
286 30.93 90.79 12.21 8.86 8.10
287 31.09 30.14 61.48 69.34 85.00
288 31.27 25.89 65.43 68.66 86.16
289 30.86 79.34 62.83 66.35 95.19
290 31.51 44.77 62.61 60.86 99.30
291 31.49 58.47 61.28 63.65 105.01
292 31.55 20.48 70.29 85.51 78.54
293 31.75 40.65 71.03 73.82 110.19
294 31.29 92.18 9.27 6.86 5.14
295 31.36 61.43 44.57 31.43 40.91
296 31.63 79.16 54.56 66.33 91.18
297 31.92 14.13 53.80 51.66 55.21
298 32.13 63.79 62.40 62.85 95.27
299 32.15 67.38 59.72 59.86 90.43
300 32.15 23.36 71.00 78.03 98.47
301 32.36 89.79 16.18 14.86 11.57
302 32.26 71.18 60.51 62.35 96.80
303 32.27 82.54 55.98 61.92 77.54
304 32.12 92.62 9.44 5.87 4.96
305 32.53 31.68 68.51 72.61 99.60
306 32.78 77.17 57.82 60.98 83.32
307 32.80 17.42 60.91 66.41 71.84
308 32.75 27.73 68.77 77.00 97.96
309 33.04 56.65 67.73 67.16 95.62
310 32.92 10.38 24.06 21.76 18.96
311 33.02 52.92 70.73 70.76 104.69
312 32.82 94.42 7.61 4.76 4.64
313 33.12 38.44 69.53 72.97 100.59
314 33.03 86.02 46.26 46.07 45.82
315 32.70 7.01 9.46 8.08 5.94
316 33.25 60.69 66.05 70.33 99.98
317 33.06 46.45 69.41 67.23 101.78
318 33.33 35.12 69.66 70.72 93.32
319 33.60 42.29 66.73 68.64 88.95
320 33.73 73.61 54.17 55.57 76.17
321 33.48 22.44 66.84 68.10 79.14
322 33.55 92.65 10.55 8.26 6.28
323 33.59 14.15 44.92 44.07 40.24
324 33.65 7.49 13.03 9.13 7.02
325 33.92 81.78 58.61 61.39 75.40
326 33.97 90.57 18.56 16.12 12.98
327 34.30 68.53 62.46 63.22 81.54
328 34.25 64.25 64.93 68.80 87.16
329 34.23 29.06 75.90 83.86 94.73
330 34.38 18.79 67.68 73.60 75.63
331 34.51 87.62 42.41 37.97 36.11
332 34.67 32.11 74.02 76.90 89.82
333 34.30 94.01 8.25 5.50 4.11
334 34.69 25.77 72.68 77.76 85.96
335 34.74 78.50 61.06 67.38 84.70
336 34.45 13.62 58.49 55.36 47.42
337 35.05 59.49 66.49 66.78 83.73
338 34.51 8.07 16.11 13.26 9.58
339 34.72 46.16 72.94 78.84 94.03
340 34.81 55.27 71.41 74.19 93.38
341 35.28 38.76 70.54 74.83 81.57
342 34.63 92.02 12.61 8.51 6.49
343 35.37 10.47 33.72 30.17 22.09
344 35.29 35.31 77.14 76.96 83.68
345 35.20 21.86 80.81 85.09 93.88
346 35.44 84.35 52.27 49.83 55.47
347 35.70 71.45 66.03 64.07 81.74
348 35.46 75.19 66.98 69.59 82.65
349 35.38 42.53 76.87 77.18 94.80
350 35.29 5.63 9.44 5.79 4.69
351 35.39 94.97 7.94 5.60 4.06
352 35.73 15.87 64.84 66.08 57.94
353 35.88 51.89 68.94 74.08 83.64
354 36.13 89.46 32.37 26.89 21.24
355 35.75 92.51 13.60 9.90 7.27
356 36.35 27.81 72.20 75.48 74.27
357 36.09 64.47 74.82 76.47 93.32
358 36.25 30.86 67.79 59.27 64.26
359 36.51 68.00 70.50 71.62 81.38
360 36.33 47.77 70.74 71.09 80.89
361 36.54 23.69 76.26 77.88 73.56
362 36.67 61.04 67.32 69.23 77.58
363 36.73 19.46 74.75 76.01 69.06
364 36.52 79.70 63.94 69.20 77.84
365 36.43 6.48 14.06 9.72 7.35
366 36.65 56.56 70.96 70.74 81.24
367 37.41 34.36 76.53 73.49 71.25
368 36.87 94.36 9.46 6.71 4.65
369 37.34 14.07 62.74 58.33 40.86
370 37.42 37.91 72.92 69.15 67.68
371 36.61 8.10 20.16 15.59 12.24
372 36.88 42.42 79.12 75.59 80.75
373 37.25 83.23 59.90 61.96 67.03
374 37.30 10.07 35.36 30.21 19.31
375 37.32 75.94 62.44 64.04 68.50
376 36.86 92.02 16.32 13.62 8.30
377 37.53 87.15 52.22 46.46 43.14
378 37.09 31.48 79.65 82.46 78.87
379 37.47 71.87 70.08 69.35 81.42
380 37.94 50.22 78.69 70.37 75.76
381 37.75 53.54 78.07 80.27 82.00
382 37.41 5.22 11.05 7.11 5.30
383 38.04 45.49 72.83 70.91 75.42
384 38.15 65.06 68.02 63.24 67.91
385 37.95 25.72 81.98 81.58 72.22
386 37.52 7.33 13.75 11.35 6.78
387 38.47 60.99 71.67 66.53 68.74
388 38.19 95.91 7.69 4.35 3.60
389 38.36 30.28 76.26 69.60 67.91
