#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
be5 13  - caudal even-skipped bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - cad, channel 2 - eve, channel 3 - bcd>
488 48.74 46.32 139.23 73.39 34.43
489 48.73 53.52 145.71 75.61 31.97
490 49.41 81.25 120.65 62.35 24.74
491 48.85 6.79 90.68 58.61 31.76
492 48.92 31.72 124.39 68.96 32.97
493 49.03 63.66 142.58 78.28 32.01
494 49.05 78.59 150.63 70.35 28.72
495 48.85 35.80 128.28 67.85 33.13
496 49.08 73.84 146.32 70.40 29.68
497 48.98 67.36 154.97 81.77 32.53
498 49.24 10.48 102.53 60.69 32.14
499 49.12 58.51 143.42 74.79 31.69
500 49.31 20.39 114.18 71.34 31.95
501 49.44 84.62 130.99 63.09 24.57
502 49.41 16.65 116.65 69.75 33.92
503 49.56 25.43 117.08 67.52 31.82
504 49.69 41.27 121.60 60.92 29.14
505 50.20 37.72 119.45 56.36 27.46
506 49.88 89.82 118.78 63.26 22.47
507 50.20 93.70 60.74 35.94 12.81
508 50.20 44.68 124.06 64.04 28.38
509 50.19 55.98 138.20 65.10 28.86
510 50.32 28.83 129.76 65.63 33.90
511 50.28 48.71 134.75 65.05 29.05
512 50.65 52.29 140.56 67.60 28.11
513 50.34 76.65 150.16 69.95 28.36
514 50.40 69.05 135.51 65.23 27.22
515 50.48 32.88 124.75 61.34 30.39
516 50.39 61.19 150.28 71.81 29.88
517 50.71 6.83 86.02 49.02 25.73
518 50.65 14.68 118.41 62.75 32.16
519 50.78 22.21 121.88 65.36 29.93
520 50.81 64.73 144.02 67.53 27.93
521 50.94 87.03 134.21 62.73 23.85
522 50.79 10.75 99.55 53.97 26.79
523 50.93 73.76 148.83 63.96 27.09
524 51.17 18.82 109.08 60.54 27.52
525 51.19 83.69 140.01 65.84 23.98
526 51.36 26.12 120.52 60.85 29.16
527 51.52 42.36 138.38 62.77 28.53
528 51.71 78.55 147.12 64.80 25.96
529 51.70 60.01 140.36 58.88 26.22
530 51.64 71.19 169.08 78.31 29.71
531 51.78 90.55 113.16 59.97 18.70
532 51.76 35.29 145.39 64.64 31.44
533 51.75 55.94 151.54 64.10 29.09
534 52.32 38.41 127.57 58.70 27.80
535 52.06 94.48 52.06 29.49 10.90
536 52.20 46.12 138.25 60.76 26.85
537 52.03 49.62 151.70 68.45 28.08
538 52.01 30.98 128.06 55.72 28.65
539 52.21 65.57 145.66 59.96 26.03
540 52.32 13.28 117.88 56.17 28.01
541 52.29 9.43 109.46 56.01 28.15
542 52.32 16.37 124.50 61.78 27.90
543 52.48 81.50 152.76 64.16 24.73
544 52.56 23.88 117.17 56.70 26.28
545 52.42 52.85 144.91 65.65 22.73
546 52.63 69.26 153.74 65.24 26.89
547 52.71 6.00 96.18 47.12 24.09
548 52.66 74.30 153.05 65.76 26.99
549 52.90 85.16 152.66 71.51 23.99
550 52.91 27.79 124.45 56.83 25.97
551 53.33 21.34 122.98 54.99 26.28
552 53.06 42.25 140.85 56.99 28.08
553 53.41 88.34 140.70 66.15 22.04
554 53.17 60.70 148.19 56.44 26.03
555 53.30 33.39 138.73 59.23 28.16
556 53.50 18.44 118.78 53.72 26.94
557 53.34 56.48 149.88 56.39 25.53
558 53.46 78.15 151.38 66.11 24.75
559 53.71 91.61 104.80 45.79 16.50
560 53.65 48.20 145.45 62.11 25.98
561 53.76 67.07 150.69 61.43 26.46
562 53.87 12.00 118.90 53.85 26.13
563 53.91 71.84 164.59 65.55 26.39
564 54.07 63.41 150.42 59.77 25.00
565 54.09 8.55 104.90 45.01 22.76
566 54.07 52.84 137.30 56.12 24.00
567 54.15 30.22 142.94 58.09 27.00
568 54.06 82.72 161.89 69.14 24.23
569 54.25 39.13 137.00 56.08 26.04
570 54.50 35.20 141.80 53.66 27.13
571 54.41 75.40 162.60 65.20 24.54
572 54.46 15.65 125.13 54.67 24.74
573 54.64 26.43 123.52 53.83 24.45
574 54.43 43.38 143.05 52.93 25.04
575 54.86 23.29 128.24 56.23 25.77
576 54.78 58.82 147.32 55.09 25.67
577 54.96 79.26 161.44 67.45 23.66
578 55.08 86.97 136.68 62.72 20.75
579 55.07 48.79 156.59 58.56 26.95
580 55.21 70.48 166.93 62.22 26.39
581 55.31 92.56 79.17 37.67 12.50
582 55.34 20.15 132.44 53.59 27.04
583 55.36 67.24 165.36 62.81 24.65
584 55.43 6.91 103.98 40.37 20.91
585 55.81 45.27 143.37 53.51 23.31
586 55.67 12.69 116.06 47.02 22.60
587 55.53 63.61 163.80 59.78 25.85
588 55.47 83.27 169.46 70.48 23.91
589 55.58 30.39 131.12 49.12 24.70
590 55.69 53.07 148.08 56.16 24.62
591 55.79 37.57 147.19 52.88 24.81
592 55.82 73.62 173.81 66.27 25.14
593 55.94 17.16 125.65 51.82 23.28
594 56.09 56.79 155.09 53.56 23.04
595 55.83 76.69 122.72 55.13 20.30
596 56.16 40.97 148.63 52.59 24.44
597 56.38 34.27 133.57 50.30 22.69
598 56.24 89.40 139.92 58.04 18.81
599 56.47 9.68 106.88 40.24 20.55
600 56.45 60.60 161.47 55.45 23.64
601 56.54 27.02 142.83 50.22 25.12
602 56.44 80.25 160.99 60.67 22.54
603 56.48 23.72 139.20 58.31 22.65
604 56.57 49.41 149.63 51.85 22.72
605 56.71 85.02 165.98 61.51 21.86
606 56.76 69.33 170.66 64.43 24.02
607 56.95 65.23 166.39 57.11 23.84
608 57.08 14.97 126.99 48.84 23.61
609 57.01 20.35 135.58 49.33 23.42
610 57.28 30.30 140.01 46.99 25.31
611 57.26 72.72 171.48 60.55 22.66
612 57.33 75.75 154.40 55.50 20.68
