#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ab16 13  - even-skipped caudal bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - cad, channel 3 - bcd>
501 48.17 41.54 80.48 88.00 25.73
502 48.53 89.02 62.54 68.68 22.19
503 48.71 20.86 75.19 103.71 26.08
504 48.66 5.72 30.98 49.56 14.96
505 48.58 24.23 73.60 107.05 27.18
506 48.58 93.31 38.78 52.25 19.10
507 48.84 81.16 80.30 80.36 21.44
508 49.09 31.59 78.48 102.99 25.23
509 48.92 35.16 83.73 104.98 26.01
510 48.95 60.55 91.23 102.93 27.43
511 48.98 15.95 66.25 96.48 24.92
512 49.01 27.68 81.67 111.12 26.60
513 49.21 67.32 74.87 75.01 23.24
514 49.08 42.62 77.27 89.88 23.74
515 49.18 54.38 94.03 117.57 30.32
516 49.39 57.51 89.09 105.62 28.61
517 49.48 73.33 83.87 83.11 23.24
518 49.43 85.23 85.45 98.83 26.27
519 49.67 11.65 49.61 74.60 20.37
520 49.64 46.74 86.91 100.95 26.79
521 49.66 51.36 86.55 106.55 29.19
522 49.79 7.87 38.07 66.63 17.63
523 50.10 62.82 81.08 93.35 24.75
524 49.86 77.37 79.47 85.02 22.68
525 49.79 38.55 79.28 97.66 23.20
526 50.24 19.05 70.16 103.94 24.22
527 50.25 92.20 44.39 59.45 18.69
528 50.28 23.88 76.78 102.36 23.60
529 50.61 88.09 78.13 84.96 23.49
530 50.41 29.61 76.18 111.86 25.34
531 50.45 39.86 73.79 89.56 22.01
532 50.54 14.62 60.32 99.86 22.88
533 50.61 81.37 82.71 80.40 22.28
534 50.75 43.06 82.29 112.62 26.26
535 50.68 35.28 74.73 101.32 23.56
536 51.13 71.60 64.44 78.81 20.42
537 50.84 66.42 74.31 89.72 23.44
538 50.85 49.09 90.40 129.32 29.98
539 50.85 55.58 91.86 125.17 28.51
540 51.12 59.02 92.44 122.40 29.17
541 51.45 53.05 100.83 145.37 33.51
542 51.34 8.17 40.47 63.57 16.57
543 51.40 76.41 72.33 86.95 21.20
544 51.58 27.18 72.54 116.72 23.39
545 51.72 84.27 84.83 103.78 24.25
546 51.80 19.93 69.79 120.96 23.09
547 51.84 31.72 77.50 111.35 22.20
548 52.04 12.65 49.79 86.79 19.13
549 52.02 16.52 60.07 104.53 21.38
550 52.04 22.90 78.13 114.62 23.23
551 52.00 46.66 83.03 120.00 26.12
552 52.02 90.17 52.48 75.25 19.43
553 51.98 62.88 72.28 98.50 22.55
554 52.42 93.52 36.51 53.10 14.47
555 52.25 39.44 74.17 106.97 22.42
556 52.18 68.53 77.21 96.16 22.59
557 52.46 35.37 70.20 103.18 22.01
558 52.25 50.37 103.68 144.60 28.95
559 52.21 80.34 69.65 79.48 20.52
560 52.58 43.06 75.76 113.40 22.39
561 52.56 56.42 85.56 119.34 27.10
562 52.90 86.83 66.36 96.88 22.44
563 52.81 9.27 40.87 83.51 18.36
564 52.83 75.42 80.56 97.64 22.08
565 53.18 5.56 24.91 53.95 13.35
566 52.99 25.41 70.38 127.13 22.74
567 53.15 60.46 80.28 111.21 23.21
568 53.31 52.47 95.76 146.37 28.35
569 53.62 70.80 64.51 85.88 19.70
570 53.45 29.96 72.35 106.50 21.67
571 53.43 65.49 67.36 90.80 20.67
572 53.04 79.95 68.42 91.84 19.62
573 53.52 19.06 71.40 131.60 22.83
574 53.79 82.90 65.46 88.12 19.80
575 53.72 48.48 84.65 127.81 24.77
576 54.07 15.65 46.76 98.08 19.24
577 53.92 44.27 79.15 118.65 24.29
578 54.02 90.66 46.69 76.64 17.21
579 54.05 11.13 43.09 92.28 19.94
580 53.97 38.41 68.44 109.34 21.40
581 54.15 55.09 86.28 141.81 26.75
582 54.24 22.01 65.39 128.25 21.41
583 54.32 33.97 66.70 104.87 20.26
584 54.47 94.32 29.93 53.23 13.09
585 54.27 78.39 70.04 108.34 21.32
586 54.41 58.25 75.72 121.44 24.17
587 54.48 74.13 79.93 119.38 22.18
588 54.36 26.13 69.66 133.49 23.35
589 54.69 87.39 66.09 92.22 20.12
590 54.83 6.77 29.28 65.86 13.21
591 55.00 62.12 63.11 103.61 20.33
592 54.93 52.21 84.20 147.62 25.42
593 54.82 66.73 71.14 114.37 21.46
594 55.39 39.31 63.23 101.42 19.51
595 55.47 28.41 58.72 113.69 19.87
596 55.41 12.84 43.32 102.08 17.74
597 55.32 49.12 93.12 157.11 26.01
598 55.29 44.94 72.49 123.80 22.50
599 55.40 84.52 66.33 99.45 19.60
600 55.55 19.22 63.55 138.43 22.90
601 55.85 80.92 57.34 91.39 18.66
602 55.68 23.77 62.44 122.64 20.98
603 55.90 71.69 61.52 93.60 19.20
604 55.80 32.09 69.63 122.22 20.30
605 55.91 76.80 59.02 94.17 18.49
606 56.00 54.63 68.13 130.84 23.98
607 56.07 90.85 48.42 71.05 16.16
608 56.08 9.15 32.80 82.57 15.48
609 55.99 58.62 65.30 122.57 22.07
610 56.30 15.55 49.48 116.98 18.56
611 55.98 68.37 59.07 89.63 19.44
612 56.37 66.12 65.84 96.41 19.16
